Employee_ID,Department,Job_Level,Age,Gender,Employment_Type,Years_At_Company,Years_In_Current_Role,Num_Promotions,Last_Promotion_Years_Ago,Annual_Salary_USD,Performance_Score,Job_Satisfaction_Score,Work_Life_Balance_Score,Overtime_Hours_Monthly,Distance_From_Office_KM,Num_Trainings_Last_Year,Remote_Work_Percentage,Attrition
EMP-010000,Finance,Senior,34,Male,Part-Time,4,2,0,6,123211,3,4,3,17,1,3,100,0
EMP-010001,Sales,Mid,42,Male,Full-Time,4,1,0,2,61444,3,2,5,6,14,3,75,0
EMP-010002,Engineering,Junior,40,Male,Contract,2,1,0,0,62355,4,4,4,1,1,4,75,0
EMP-010003,Engineering,Director,36,Female,Full-Time,7,3,1,0,169716,3,4,3,5,14,3,100,0
EMP-010004,Marketing,Junior,28,Female,Full-Time,3,2,0,3,69428,4,4,4,21,1,2,0,0
EMP-010005,Sales,Senior,46,Male,Full-Time,4,2,0,3,98467,4,3,3,1,33,2,75,1
EMP-010006,Legal,Junior,28,Male,Full-Time,1,0,0,2,54928,3,4,4,0,4,2,75,0
EMP-010007,Engineering,Lead,47,Non-Binary,Contract,3,1,0,7,110804,3,3,1,12,9,3,75,0
EMP-010008,Customer Support,Senior,26,Female,Part-Time,13,9,0,5,133704,4,3,4,38,10,2,25,0
EMP-010009,Finance,Junior,40,Male,Full-Time,10,5,1,1,58834,3,2,5,2,26,4,50,0
EMP-010010,Customer Support,Junior,34,Male,Full-Time,9,5,0,5,53268,3,4,1,3,17,5,50,1
EMP-010011,Engineering,Lead,28,Female,Full-Time,15,5,3,2,112916,4,1,4,7,12,2,50,0
EMP-010012,Legal,Director,40,Male,Full-Time,10,6,2,1,174830,2,4,4,9,30,5,50,0
EMP-010013,Sales,Mid,31,Female,Full-Time,9,7,2,0,86275,2,2,3,15,4,4,0,0
EMP-010014,Data Science,Mid,30,Non-Binary,Full-Time,5,2,0,2,90044,3,1,4,3,13,3,25,1
EMP-010015,Customer Support,Mid,37,Male,Full-Time,3,2,0,1,66031,3,3,3,15,15,3,50,0
EMP-010016,Customer Support,VP,25,Male,Full-Time,18,15,2,15,262180,4,3,2,2,16,5,100,1
EMP-010017,Engineering,Mid,22,Female,Full-Time,8,7,1,0,99968,4,3,4,0,30,6,25,0
EMP-010018,Engineering,Junior,47,Male,Full-Time,5,2,1,0,53812,2,3,2,8,12,1,75,0
EMP-010019,Engineering,Mid,32,Male,Full-Time,4,3,0,3,95891,5,3,2,10,10,2,50,0
EMP-010020,Operations,Senior,32,Male,Full-Time,6,2,0,1,96206,5,3,4,13,9,1,25,0
EMP-010021,HR,Mid,30,Female,Full-Time,2,1,0,2,72483,3,5,5,1,4,1,50,0
EMP-010022,Customer Support,Senior,30,Male,Full-Time,2,1,0,1,96289,4,4,4,36,24,1,100,0
EMP-010023,Customer Support,Senior,38,Male,Full-Time,8,6,2,3,96895,3,4,3,2,10,2,25,0
EMP-010024,Customer Support,Mid,38,Female,Full-Time,4,1,0,2,62923,4,3,4,3,1,2,50,0
EMP-010025,Data Science,Mid,37,Male,Full-Time,9,8,1,1,89748,3,5,5,7,13,4,75,0
EMP-010026,HR,Manager,38,Male,Full-Time,3,2,0,3,146011,3,5,4,4,1,1,0,0
EMP-010027,Finance,Director,39,Male,Contract,6,2,1,7,173322,2,3,4,13,1,0,25,0
EMP-010028,Marketing,Lead,35,Female,Full-Time,28,15,4,1,123575,3,1,2,18,15,2,50,0
EMP-010029,Data Science,Junior,35,Male,Full-Time,11,9,2,0,47873,3,4,4,3,7,1,75,0
EMP-010030,HR,Senior,36,Female,Full-Time,7,6,1,1,79878,3,3,4,3,3,1,75,0
EMP-010031,Operations,Director,31,Male,Full-Time,9,2,2,1,152597,2,4,2,27,1,3,75,0
EMP-010032,Operations,Lead,24,Non-Binary,Part-Time,10,4,1,3,78612,4,4,2,2,11,2,50,0
EMP-010033,Sales,Junior,37,Female,Full-Time,1,0,0,4,51510,3,5,3,1,14,4,100,0
EMP-010034,Operations,Senior,22,Female,Full-Time,3,1,0,1,86281,4,4,4,14,22,0,25,0
EMP-010035,Sales,Mid,37,Female,Full-Time,8,7,1,2,76714,1,1,3,8,5,1,0,0
EMP-010036,Finance,VP,41,Female,Part-Time,7,2,0,0,228413,1,2,1,19,3,3,100,0
EMP-010037,Engineering,Mid,40,Male,Full-Time,1,0,0,5,72817,3,4,3,13,19,3,25,1
EMP-010038,Finance,Junior,38,Male,Part-Time,4,3,0,3,66554,4,3,4,5,18,2,25,0
EMP-010039,Legal,Mid,34,Male,Full-Time,4,3,0,0,75265,5,4,3,0,22,4,75,0
EMP-010040,Marketing,Mid,42,Male,Full-Time,6,4,0,2,79527,4,3,2,9,7,4,50,0
EMP-010041,Marketing,Manager,34,Male,Full-Time,1,0,0,0,125207,2,4,3,1,14,2,100,0
EMP-010042,HR,Senior,25,Male,Full-Time,10,6,0,2,97762,5,5,4,14,2,5,50,0
EMP-010043,Data Science,Mid,38,Female,Full-Time,9,7,2,11,82155,4,4,3,5,3,1,75,0
EMP-010044,Product,Manager,22,Male,Full-Time,14,7,1,4,144102,4,5,2,13,4,1,0,0
EMP-010045,Marketing,Junior,28,Male,Full-Time,3,2,0,0,57468,3,4,3,5,41,1,100,0
EMP-010046,Data Science,Junior,41,Female,Full-Time,6,5,0,1,54742,5,2,3,0,13,4,25,0
EMP-010047,Operations,Junior,41,Male,Contract,2,0,0,5,64801,3,3,4,2,7,2,100,0
EMP-010048,Engineering,Senior,30,Female,Full-Time,9,4,1,1,119105,5,2,2,18,18,4,100,0
EMP-010049,Data Science,Junior,24,Non-Binary,Full-Time,1,0,0,0,66934,2,2,4,11,1,3,50,0
EMP-010050,Operations,Lead,41,Non-Binary,Full-Time,4,2,0,6,99561,3,3,5,7,15,3,75,0
EMP-010051,HR,Junior,36,Male,Full-Time,12,8,1,0,54933,4,1,2,12,6,3,100,0
EMP-010052,Data Science,Senior,25,Male,Full-Time,3,2,0,0,99460,3,2,2,31,14,2,50,0
EMP-010053,Finance,Senior,46,Female,Full-Time,11,10,2,0,110211,3,3,3,7,1,0,0,0
EMP-010054,Engineering,Junior,38,Female,Full-Time,8,2,1,0,42289,5,3,5,0,1,2,25,0
EMP-010055,Sales,Junior,36,Male,Full-Time,5,2,0,2,53194,3,4,3,0,26,1,50,0
EMP-010056,HR,Junior,34,Female,Full-Time,14,6,0,1,59101,4,4,2,17,16,2,75,0
EMP-010057,Sales,Junior,36,Female,Contract,7,3,1,5,62023,3,5,5,3,1,0,0,0
EMP-010058,Sales,Senior,33,Male,Full-Time,3,2,0,4,96345,4,3,3,19,1,3,25,1
EMP-010059,Product,Senior,45,Male,Full-Time,8,7,1,1,101672,4,4,3,1,19,5,0,0
EMP-010060,Marketing,Mid,42,Male,Full-Time,6,2,1,1,95616,3,3,5,2,12,2,50,0
EMP-010061,Customer Support,Junior,43,Female,Full-Time,8,5,0,0,53274,4,3,3,11,4,3,25,0
EMP-010062,Marketing,Lead,48,Male,Full-Time,4,1,0,4,128922,2,3,4,0,19,3,50,0
EMP-010063,HR,Junior,50,Female,Full-Time,6,2,0,7,59144,1,4,5,4,7,3,100,0
EMP-010064,Data Science,Lead,46,Male,Full-Time,5,4,0,1,123153,3,5,2,3,14,2,25,0
EMP-010065,Engineering,Junior,33,Male,Full-Time,14,7,1,1,70524,5,2,3,5,7,0,75,0
EMP-010066,Engineering,Junior,50,Female,Full-Time,4,2,0,1,50969,2,5,2,5,25,3,100,0
EMP-010067,Sales,Manager,32,Male,Full-Time,1,0,0,3,139674,3,2,3,3,72,2,50,0
EMP-010068,Finance,Senior,31,Male,Full-Time,7,3,1,3,119580,5,2,3,8,14,0,75,1
EMP-010069,Data Science,Junior,39,Female,Full-Time,5,2,1,3,51207,5,4,4,5,15,3,25,0
EMP-010070,Marketing,Junior,35,Male,Full-Time,0,0,0,0,40000,4,4,3,0,5,2,50,0
EMP-010071,Marketing,Junior,43,Female,Part-Time,8,4,0,1,41738,5,4,5,0,13,5,50,0
EMP-010072,HR,Senior,52,Male,Full-Time,15,8,2,0,104615,3,4,3,9,2,2,100,1
EMP-010073,Data Science,Director,45,Male,Full-Time,7,5,0,0,173218,3,4,1,10,23,1,0,0
EMP-010074,Sales,VP,46,Female,Full-Time,4,2,0,0,275114,4,3,3,1,25,3,100,0
EMP-010075,HR,Mid,24,Male,Contract,10,5,2,1,85375,5,5,4,4,39,5,100,0
EMP-010076,Customer Support,Lead,33,Female,Full-Time,7,6,0,0,149780,4,4,3,7,3,1,50,0
EMP-010077,Sales,Manager,32,Female,Full-Time,3,1,0,3,103075,2,4,2,1,3,2,75,1
EMP-010078,Sales,Junior,35,Female,Full-Time,9,4,1,3,50903,3,5,5,8,33,2,75,0
EMP-010079,HR,Senior,47,Male,Full-Time,14,10,1,0,83016,3,3,3,11,14,2,50,0
EMP-010080,Customer Support,Director,31,Male,Full-Time,10,7,2,0,173805,2,1,4,0,1,3,100,0
EMP-010081,Marketing,Mid,39,Female,Full-Time,5,4,1,1,78323,5,2,1,31,7,5,50,0
EMP-010082,Customer Support,Senior,52,Female,Full-Time,7,4,0,3,123056,3,4,3,15,1,2,25,0
EMP-010083,Marketing,Mid,42,Male,Full-Time,10,6,2,1,91566,4,1,4,4,4,3,100,0
EMP-010084,Finance,Senior,39,Female,Full-Time,8,3,1,1,77883,4,4,4,2,1,2,75,0
EMP-010085,Sales,Director,33,Female,Full-Time,5,1,0,1,166851,5,2,5,3,7,2,100,0
EMP-010086,Sales,Junior,39,Female,Full-Time,6,3,0,4,66985,3,1,4,6,7,3,75,0
EMP-010087,Sales,Mid,36,Male,Part-Time,8,2,0,3,76449,1,2,4,7,7,1,100,0
EMP-010088,Operations,Senior,32,Male,Full-Time,7,3,0,8,72968,4,3,2,33,36,2,25,0
EMP-010089,Marketing,Mid,25,Male,Full-Time,15,7,3,2,93606,1,4,3,11,18,2,75,0
EMP-010090,Sales,Senior,22,Female,Full-Time,1,0,0,3,103582,4,4,3,17,32,0,25,1
EMP-010091,Finance,Junior,39,Male,Full-Time,8,3,0,1,49973,3,4,1,7,6,1,75,0
EMP-010092,Engineering,Lead,36,Female,Full-Time,13,9,1,8,131581,2,2,1,18,23,3,50,1
EMP-010093,Finance,Senior,36,Male,Full-Time,2,0,0,0,98245,3,5,3,8,5,0,50,0
EMP-010094,HR,Mid,49,Male,Part-Time,9,5,0,8,68554,3,4,3,2,7,4,75,0
EMP-010095,Product,Lead,55,Male,Full-Time,9,6,1,1,103880,4,3,3,8,20,3,25,0
EMP-010096,Operations,Manager,38,Male,Full-Time,3,2,0,0,136480,3,3,4,7,45,4,0,0
EMP-010097,Marketing,VP,36,Male,Full-Time,3,2,0,3,197520,1,2,3,6,2,2,25,0
EMP-010098,Finance,Director,44,Female,Full-Time,5,3,0,1,178186,2,5,2,3,17,4,25,1
EMP-010099,Data Science,VP,44,Female,Full-Time,2,0,0,0,173560,4,1,3,0,23,0,50,1
EMP-010100,Engineering,Lead,42,Female,Contract,7,3,1,2,93841,4,3,5,1,12,3,25,1
EMP-010101,Operations,Junior,26,Male,Full-Time,5,3,0,3,63950,3,4,3,8,2,2,50,0
EMP-010102,Operations,Junior,35,Male,Full-Time,10,7,2,1,45892,5,1,1,7,5,2,25,0
EMP-010103,Marketing,Mid,36,Female,Full-Time,5,2,0,3,83502,4,2,4,19,1,2,100,0
EMP-010104,Sales,Lead,46,Male,Full-Time,3,2,0,5,112064,4,1,4,3,33,2,25,0
EMP-010105,Sales,Mid,39,Female,Full-Time,16,9,1,0,91734,2,5,5,5,5,1,50,0
EMP-010106,Marketing,Lead,41,Male,Full-Time,3,2,0,9,135357,4,4,3,1,21,1,25,1
EMP-010107,Sales,Mid,36,Male,Full-Time,2,1,0,1,65315,4,4,2,1,2,2,50,0
EMP-010108,Marketing,Senior,48,Male,Full-Time,6,3,0,1,105783,3,4,3,1,6,1,50,0
EMP-010109,Operations,Senior,48,Female,Full-Time,14,11,3,3,97422,2,4,2,6,70,1,100,1
