Property_ID,Listing_Year,City,Neighborhood_Type,Property_Type,Bedrooms,Bathrooms,Square_Footage,Lot_Size_SqFt,Year_Built,Garage_Spaces,Has_Pool,Has_Basement,Condition,School_District_Rating,Walk_Score,HOA_Monthly_Fee,Num_Listing_Photos,Days_On_Market,Sale_Price_USD
PROP-020000,2021,Dallas,Suburban,Condo,1,2.0,822,2063,1964,1,0,1,Good,10,67,498.0,22,45,229034
PROP-020001,2022,San Diego,Waterfront,Condo,3,1.5,1085,2237,1987,0,0,0,Good,4,56,586.0,28,3,646151
PROP-020002,2024,Phoenix,Urban,Single Family,4,2.5,1576,5676,1974,2,1,0,Good,2,64,161.0,21,1,440081
PROP-020003,2020,Austin,Waterfront,Single Family,4,1.0,1836,8973,1977,1,0,1,Excellent,8,58,0.0,22,7,1175596
PROP-020004,2024,Philadelphia,Suburban,Single Family,1,2.0,823,1290,1999,0,0,0,Good,9,72,130.0,21,41,244225
PROP-020005,2024,Houston,Historic District,Duplex,1,2.0,818,3346,1968,2,1,1,Excellent,7,45,0.0,20,33,335342
PROP-020006,2024,Seattle,Urban,Condo,3,3.0,1725,8112,1964,0,0,0,Excellent,6,78,465.0,26,19,727032
PROP-020007,2020,Los Angeles,Rural,Condo,3,3.0,1080,3834,1980,0,0,0,Good,10,43,596.0,12,10,358569
PROP-020008,2022,Chicago,University Area,Single Family,4,2.0,1978,4914,2003,0,0,0,Good,2,63,0.0,16,10,409980
PROP-020009,2022,New York,Urban,Duplex,4,1.0,1980,6023,2023,2,0,1,Excellent,10,78,0.0,25,49,1163123
PROP-020010,2023,San Diego,Urban,Condo,1,3.0,664,1456,1989,2,0,1,Good,4,28,614.0,21,126,353914
PROP-020011,2024,New York,Historic District,Townhouse,5,2.0,1796,5783,2000,0,1,1,Needs Renovation,10,85,0.0,17,22,809441
PROP-020012,2022,Seattle,Suburban,Duplex,2,3.0,688,2008,1985,1,0,1,Good,6,69,0.0,31,26,376695
PROP-020013,2023,Philadelphia,Rural,Condo,1,2.0,532,1043,1982,0,1,0,Good,2,47,450.0,19,82,101044
PROP-020014,2021,Chicago,Historic District,Single Family,3,3.5,1488,2426,1984,2,0,1,Excellent,4,9,0.0,21,2,373898
PROP-020015,2024,Chicago,Suburban,Single Family,3,2.0,1019,4383,2010,2,0,0,Good,9,51,0.0,30,99,375486
PROP-020016,2022,San Diego,Historic District,Townhouse,3,1.5,1310,3804,1964,1,0,1,Fair,4,69,0.0,24,10,563447
PROP-020017,2023,Miami,Waterfront,Single Family,2,2.5,856,2480,1973,1,0,0,Excellent,3,45,0.0,28,32,476486
PROP-020018,2024,Los Angeles,Urban,Condo,4,2.0,1954,9654,1975,0,0,1,Good,4,33,466.0,17,14,807109
PROP-020019,2022,Philadelphia,Urban,Single Family,1,2.5,400,844,2002,2,0,1,Fair,2,62,0.0,19,35,117129
PROP-020020,2022,Los Angeles,Historic District,Multi-Family,4,1.0,1204,3313,1998,0,1,0,Good,9,54,0.0,21,47,863003
PROP-020021,2023,Phoenix,Suburban,Condo,3,1.0,1050,3567,1999,1,0,1,Fair,5,48,516.0,29,5,220387
PROP-020022,2024,New York,Waterfront,Multi-Family,2,3.0,1044,2021,1967,0,0,0,Good,10,1,0.0,30,13,979406
PROP-020023,2022,Houston,Urban,Condo,3,1.5,1222,3127,1988,2,0,0,Excellent,2,84,455.0,22,1,326143
PROP-020024,2023,Dallas,Rural,Single Family,1,2.0,400,1487,2017,1,0,0,Fair,7,69,168.0,29,53,122375
PROP-020025,2022,Austin,University Area,Duplex,2,1.5,1210,2058,1992,3,0,0,Excellent,4,39,0.0,27,17,586391
PROP-020026,2023,Philadelphia,Suburban,Condo,1,1.5,772,3729,2001,1,0,1,Excellent,10,62,637.0,26,53,293158
PROP-020027,2024,Miami,University Area,Single Family,3,2.5,1445,6987,2012,2,0,0,Good,5,56,0.0,28,33,529374
PROP-020028,2020,Austin,Suburban,Townhouse,2,1.0,851,4063,1961,2,0,1,Excellent,4,68,0.0,32,31,286817
PROP-020029,2023,San Antonio,Historic District,Townhouse,3,2.0,886,2363,2006,1,0,1,Excellent,4,81,73.0,19,1,263219
PROP-020030,2023,Dallas,University Area,Single Family,6,1.5,1823,8469,1937,2,0,0,Excellent,4,69,0.0,19,37,519695
PROP-020031,2024,Los Angeles,Downtown,Condo,3,2.0,1287,2574,1977,2,0,0,Fair,5,55,48.0,16,35,632377
PROP-020032,2022,Phoenix,Urban,Single Family,4,2.0,2353,4389,1978,3,0,0,Good,8,74,45.0,23,20,617863
PROP-020033,2024,Phoenix,Suburban,Townhouse,3,2.0,1259,5034,1988,1,1,1,Good,1,65,0.0,21,5,298903
PROP-020034,2023,San Antonio,Downtown,Condo,2,2.0,1380,2533,1974,1,0,0,Good,6,52,308.0,26,104,340927
PROP-020035,2020,Houston,Rural,Single Family,1,4.0,400,1800,1967,0,0,1,Good,3,35,0.0,31,7,80000
PROP-020036,2021,Chicago,Downtown,Single Family,1,3.5,570,1069,1980,0,0,0,Good,6,89,158.0,21,14,243569
PROP-020037,2022,Phoenix,Waterfront,Condo,3,3.0,1341,2628,1999,2,0,0,Good,4,25,356.0,29,5,348975
PROP-020038,2024,Los Angeles,Downtown,Townhouse,2,2.5,844,1782,2004,0,0,1,Needs Renovation,3,53,0.0,20,2,396409
PROP-020039,2024,Miami,Urban,Single Family,1,2.0,400,1027,1967,3,0,1,Excellent,2,41,0.0,18,78,278938
PROP-020040,2023,Seattle,Rural,Single Family,3,3.0,1502,6188,1965,2,0,0,Excellent,5,10,0.0,13,35,423192
PROP-020041,2020,Seattle,Waterfront,Townhouse,3,3.0,1857,3816,1959,2,0,1,Fair,7,32,0.0,30,16,948992
PROP-020042,2021,Houston,Urban,Townhouse,2,1.5,829,3276,1969,3,0,0,Good,1,80,0.0,17,4,196743
PROP-020043,2021,Phoenix,Downtown,Condo,4,4.0,1321,3491,1951,2,0,0,Good,1,51,322.0,32,94,316141
PROP-020044,2021,Chicago,Rural,Townhouse,3,2.0,1050,4914,1949,2,0,1,Fair,10,48,141.0,23,34,265415
PROP-020045,2024,Los Angeles,Suburban,Townhouse,2,1.0,607,2954,2023,1,0,1,Good,9,56,0.0,23,5,372735
PROP-020046,2022,Dallas,Historic District,Multi-Family,3,2.0,1188,4528,1985,0,0,1,Fair,9,29,248.0,15,35,440553
PROP-020047,2022,Dallas,Urban,Condo,3,1.5,1220,3018,2008,2,0,1,Needs Renovation,9,58,454.0,28,37,231379
PROP-020048,2021,San Diego,Urban,Duplex,3,3.0,811,3367,1981,0,0,1,Fair,9,57,0.0,21,22,416813
PROP-020049,2023,Philadelphia,Suburban,Single Family,4,3.5,1210,3464,1975,0,0,0,Excellent,9,45,0.0,29,32,367956
PROP-020050,2020,New York,Historic District,Single Family,3,2.0,857,3216,2006,1,0,1,Good,10,33,0.0,25,1,693539
PROP-020051,2020,Miami,Downtown,Single Family,4,2.5,1620,7403,1995,3,0,1,Excellent,10,37,126.0,27,3,1027141
PROP-020052,2020,Miami,University Area,Multi-Family,2,3.5,1278,6221,1991,2,0,0,Fair,1,93,0.0,22,24,539266
PROP-020053,2021,San Diego,Rural,Condo,3,2.5,1088,4205,1940,1,0,1,Good,8,73,409.0,19,45,374023
PROP-020054,2020,Austin,Downtown,Multi-Family,4,1.0,2191,7088,1946,2,0,0,Fair,6,77,0.0,27,3,839291
PROP-020055,2023,New York,Urban,Duplex,3,1.0,1348,6644,1985,0,0,0,Excellent,6,42,0.0,21,33,1035267
PROP-020056,2024,Austin,Urban,Duplex,3,1.0,1343,6684,2008,0,0,0,Excellent,3,48,161.0,17,67,619208
PROP-020057,2021,Dallas,Urban,Single Family,5,3.0,2237,5692,2002,2,1,0,Excellent,2,51,77.0,26,4,690735
PROP-020058,2021,Los Angeles,Downtown,Condo,5,1.5,2126,4026,1958,2,0,0,Fair,2,54,130.0,19,7,1076551
PROP-020059,2023,Dallas,University Area,Duplex,2,2.0,400,1752,1955,0,1,1,Fair,1,30,0.0,18,40,119336
PROP-020060,2023,Los Angeles,University Area,Single Family,3,3.0,1538,6763,1982,2,0,1,Fair,6,31,0.0,23,16,733384
PROP-020061,2021,Los Angeles,Downtown,Condo,3,1.0,1667,3932,1958,2,0,0,Fair,1,100,331.0,19,26,721040
PROP-020062,2022,Los Angeles,Suburban,Duplex,1,1.0,400,1310,1990,0,0,0,Good,9,69,0.0,27,52,249084
PROP-020063,2024,Phoenix,Waterfront,Single Family,3,3.0,1647,3131,1998,3,0,0,Fair,10,72,0.0,27,79,502599
PROP-020064,2024,Houston,Urban,Single Family,4,3.0,2034,8766,2002,1,0,0,Fair,4,53,0.0,31,7,414606
PROP-020065,2021,Austin,Historic District,Single Family,3,2.0,1095,2098,1950,2,0,0,Good,1,59,0.0,20,14,429360
PROP-020066,2024,New York,Suburban,Single Family,2,1.0,979,2913,1993,1,0,1,Good,1,62,115.0,21,47,513887
PROP-020067,2024,San Antonio,Suburban,Single Family,5,1.0,1780,8278,2003,1,0,0,Good,10,50,92.0,19,34,456366
PROP-020068,2021,Los Angeles,University Area,Single Family,4,1.0,1925,8015,1989,2,0,1,Good,10,75,0.0,25,33,1059007
PROP-020069,2022,Miami,Suburban,Single Family,2,2.0,469,1317,2007,2,1,0,Good,2,82,0.0,33,34,225981
PROP-020070,2022,Chicago,Suburban,Single Family,2,1.5,821,3423,1979,0,1,0,Fair,4,24,0.0,30,70,275922
PROP-020071,2022,Austin,Suburban,Single Family,4,3.0,1665,6483,2009,2,0,1,Good,4,99,0.0,18,16,450939
PROP-020072,2021,Los Angeles,Urban,Single Family,2,2.0,1594,3542,1994,2,0,1,Good,5,70,0.0,24,49,878622
PROP-020073,2023,Los Angeles,Rural,Single Family,2,3.0,846,3613,1978,0,0,0,Good,3,55,243.0,25,61,288614
PROP-020074,2023,New York,Suburban,Single Family,3,1.0,1179,2364,1994,1,1,0,Excellent,5,24,0.0,18,9,702305
PROP-020075,2023,New York,Rural,Single Family,4,2.0,1529,3629,2023,1,0,0,Excellent,4,50,0.0,27,112,670622
PROP-020076,2021,Miami,Rural,Single Family,2,3.5,1388,3209,1931,2,0,0,Good,3,64,0.0,29,20,369263
PROP-020077,2022,Miami,Downtown,Single Family,3,3.0,2098,8223,1983,1,0,1,Good,5,66,30.0,30,29,822242
PROP-020078,2022,New York,Suburban,Condo,4,2.5,1612,6758,1954,3,0,0,Needs Renovation,10,47,299.0,27,137,554163
PROP-020079,2020,New York,Urban,Single Family,2,2.0,926,4284,1983,3,1,0,Needs Renovation,6,68,0.0,14,18,427541
PROP-020080,2020,Dallas,Waterfront,Condo,3,3.5,1861,6814,2012,0,1,0,Good,2,0,497.0,26,23,576998
PROP-020081,2022,New York,Downtown,Single Family,4,2.0,1352,5740,2023,1,0,0,Excellent,5,34,0.0,23,12,867129
PROP-020082,2024,Chicago,Suburban,Townhouse,3,1.5,1137,2081,1968,0,1,1,Good,3,40,0.0,19,3,309833
PROP-020083,2021,Los Angeles,Suburban,Single Family,1,1.5,743,1608,1957,1,1,0,Excellent,8,23,0.0,32,1,471675
PROP-020084,2022,Phoenix,Rural,Townhouse,3,3.5,1192,3472,1978,0,1,1,Good,3,49,0.0,25,35,255735
PROP-020085,2023,Los Angeles,Rural,Townhouse,3,3.0,1161,2413,1988,1,0,1,Excellent,4,79,97.0,19,5,497331
PROP-020086,2020,San Antonio,Downtown,Condo,2,2.0,400,1108,1989,1,0,1,Good,5,60,187.0,23,6,171399
PROP-020087,2021,Chicago,University Area,Single Family,3,2.5,1629,4543,1981,2,1,0,Good,2,59,0.0,26,1,477334
PROP-020088,2022,San Diego,Suburban,Townhouse,5,2.0,2057,3673,1994,1,0,0,Good,1,19,0.0,19,23,776742
PROP-020089,2022,Chicago,Historic District,Single Family,3,1.0,1877,8484,2007,2,1,1,Good,6,47,0.0,19,129,598340
PROP-020090,2021,New York,Downtown,Single Family,3,2.5,1215,2382,1972,0,1,1,Good,10,55,0.0,17,65,800630
PROP-020091,2022,Miami,Suburban,Condo,2,3.0,772,2437,1985,2,1,0,Good,1,63,407.0,27,50,388639
PROP-020092,2023,Los Angeles,Suburban,Condo,2,2.0,789,2580,1986,1,0,0,Good,4,36,477.0,18,124,272625
PROP-020093,2023,New York,Suburban,Townhouse,4,2.0,1826,3049,2023,3,0,1,Good,3,62,0.0,25,3,1002946
PROP-020094,2021,Philadelphia,Downtown,Condo,5,2.0,1537,3256,1996,2,0,1,Good,3,58,275.0,24,5,452039
PROP-020095,2023,Dallas,Urban,Single Family,2,3.5,1372,6543,1962,0,0,0,Good,5,91,0.0,18,15,350628
PROP-020096,2023,Houston,Urban,Condo,3,3.0,1085,4687,1916,2,0,1,Good,10,44,321.0,23,7,333679
PROP-020097,2023,New York,Downtown,Condo,1,2.0,400,1999,2009,0,0,1,Good,6,61,392.0,21,31,296685
PROP-020098,2023,Phoenix,Historic District,Single Family,2,2.0,919,4363,2013,1,0,0,Good,5,31,17.0,18,93,218362
PROP-020099,2022,Houston,Historic District,Condo,3,2.5,1012,1864,2008,2,1,1,Good,2,55,483.0,30,21,294727
